Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
D004303001,Danny Elfman,Tim Burton's The Nightmare Before Christmas (Original Motion Picture Soundtrack),Walt Disney Records,"2xLP, Pic, RE, Zoe",,2023,28445617,Uncategorized,2023-10-22 16:16:55,,,
D004461201,"Ludwig Göransson, Joseph Shirley",Star Wars: The Mandalorian Season 3 (Music From The Original Series),"Walt Disney Records, Lucasfilm Ltd.","LP, Comp, Ltd, Gre",,2024,31146425,Uncategorized,2025-01-03 09:35:47,,,Christmas Gift from Jose
"D0036805-01, 874 731-1",Jon Batiste,"Music From And Inspired By Disney Pixar ""Soul""","Walt Disney Records, Pixar, Walt Disney Records","LP, Album",,2020,16533159,Uncategorized,2021-09-19 12:36:13,Mint (M),Mint (M),
0825646122110,Vangelis,Blade Runner,"Warner Music Group, EastWest","LP, Album, RE, Gat",,2015,7097828,Uncategorized,2023-01-10 18:34:39,Near Mint (NM or M-),Near Mint (NM or M-),
0190295076139,Dua Lipa,Future Nostalgia (The Moonlight Edition),Warner Records,"2xLP, Album",,2021,17991814,Uncategorized,2025-05-11 18:36:18,,,
093624878391,Goo Goo Dolls,Chaos In Bloom,Warner Records,"LP, Album",,2023,25768294,Uncategorized,2023-04-11 08:19:41,,,
093624881414,Goo Goo Dolls,The Goo Goo Dolls Greatest Hits Volume One The Singles,Warner Records,"LP, Album, Comp",,2021,22459006,Uncategorized,2023-04-11 08:19:21,,,
093624818618,Linkin Park,Meteora,"Warner Records, Machine Shop Recordings","2xLP, Album, M/Print, RE",,2020,15605715,Music I Grew Up With,2021-07-15 17:06:59,,,
093624893233,Linkin Park,Hybrid Theory,"Warner Records, Machine Shop Recordings","LP, Album, RE, RP, Gat + 2xLP, Album, RE, Gat + LP",,2020,16032457,Music I Grew Up With,2021-04-10 20:35:16,Near Mint (NM or M-),Near Mint (NM or M-),
950613,Etta James,At Last!,WaxTime In Color,"LP, Album, Ltd, RE, Blu",,2018,11680737,Uncategorized,2021-08-17 19:51:01,Near Mint (NM or M-),Near Mint (NM or M-),
