Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
"HR2406-1, LPOE001-1",The Wonder Years,Burst & Decay (An Acoustic EP),"Hopeless Records, Loneliest Place On Earth","12"", EP, Ltd, Whi",,2017,11367945,Favorite Bands,2021-04-03 19:37:33,Near Mint (NM or M-),Near Mint (NM or M-),
HR2468-1,The Wonder Years,Sister Cities,"Hopeless Records, Loneliest Place On Earth","LP, Album, Mar",,2018,11790970,Favorite Bands,2021-04-03 19:36:04,Near Mint (NM or M-),Near Mint (NM or M-),
"HR2800-1, LPOE008-1",The Wonder Years,Burst & Decay (Volume II),"Hopeless Records, Loneliest Place On Earth","12"", EP, Ltd, Whi",,2020,14785539,Favorite Bands,2021-04-03 19:36:52,Near Mint (NM or M-),Near Mint (NM or M-),
HR2948-1,The Wonder Years,The Upsides / Suburbia (I've Given You All And Now I'm Nothing),"Hopeless Records, Loneliest Place On Earth","Box, Ltd, Whi + LP, Album, RE + LP, Album, RE + LP",,2021,19403191,Favorite Bands,2021-07-10 10:04:10,Mint (M),Mint (M),
HR2965-1,The Wonder Years,Suburbia I've Given You All And Now I'm Nothing,"Hopeless Records, Loneliest Place On Earth","LP, Album, Ltd, RE, RP, Blu",,2021,20556100,Favorite Bands,2021-10-19 20:27:15,,,
HR6642-1,The Wonder Years,The Hum Goes On Forever,"Hopeless Records, Loneliest Place On Earth","LP, Album, Gra + 7"", S/Sided, Single + Dlx, Ltd",,2022,24854378,Favorite Bands,2022-10-20 05:56:40,Near Mint (NM or M-),Near Mint (NM or M-),
HR6743-1,The Wonder Years,Burst & Decay (Live From New York),"Hopeless Records, Loneliest Place On Earth","12"", RSD, Ltd, Whi",,2023,26834582,Favorite Bands,2023-04-25 07:09:27,Near Mint (NM or M-),Near Mint (NM or M-),
HR6831-1,The Wonder Years,The Greatest Generation,"Hopeless Records, Loneliest Place On Earth","LP, Ora + LP, Blu + LP, Whi + Box, Album, Ltd, RE",,2023,28198060,Favorite Bands,2023-09-08 04:48:38,,,
HR7057-1,Aaron West And The Roaring Twenties,In Lieu Of Flowers ,"Hopeless Records, Loneliest Place On Earth","LP, Album, Cle + 7"", S/Sided + Dlx, Ltd",,2024,30387023,Uncategorized,2024-04-19 09:28:40,Mint (M),Mint (M),
HR7338-1,The Wonder Years,Burst & Decay (Volume III),"Hopeless Records, Loneliest Place On Earth","LP, Album, Ltd, Whi",,2025,33943515,Uncategorized,2025-05-13 08:22:09,,,
none,The Wonder Years,The Upsides,"Hopeless Records, Loneliest Place On Earth","LP, Album, Ltd, RE, RP, Cle",,2021,20555800,Favorite Bands,2021-10-19 20:28:30,,,
HR2605-1,The Wonder Years,Live From Maida Vale,"Hopeless Records, Loneliest Place On Earth, BBC","10"", RSD, Ltd, Bon",,2019,13489819,Favorite Bands,2021-04-18 15:37:46,Near Mint (NM or M-),Near Mint (NM or M-),
IMP435,Bo Burnham,Inside (The Songs),Imperial (17),"2xLP, Album, Ltd",,2021,21358540,Uncategorized,2022-06-07 19:06:30,,,
B0026312-01,Justin Hurwitz,La La Land (Original Motion Picture Soundtrack),Interscope Records,"LP, Album",,2017,9713132,Soundtracks,2021-06-28 15:56:46,Near Mint (NM or M-),Near Mint (NM or M-),
B0031297-01,OneRepublic,Human,"Interscope Records, Mosley Music Group","LP, Album",,2021,20517517,Uncategorized,2025-05-18 18:38:10,,,
IVR-038,Dayseeker,What It Means To Be Defeated,InVogue Records,"LP, Album, Ltd, Tig",,2022,24702386,Uncategorized,2022-11-11 05:48:36,Near Mint (NM or M-),Near Mint (NM or M-),
IVR-065,Dayseeker,Origin,InVogue Records,"LP, Album, Gol",,2015,6993151,Uncategorized,2021-04-03 19:11:58,Near Mint (NM or M-),Mint (M),Signed copy on front of cover.
IVR-068,Being As An Ocean,Being As An Ocean,InVogue Records,"LP, Album, Clo",,2015,6986499,Uncategorized,2022-02-26 18:14:45,,,
37187,Sonny Rollins,Saxophone Colossus,Jazz Images,"LP, Album, Dlx, Ltd, RE, 180",,2021,19813795,Uncategorized,2021-09-07 19:53:47,Near Mint (NM or M-),Near Mint (NM or M-),
K1002,Gold Necklace,Gold Necklace,Kill Iconic Records,"LP, Album, Ltd, Bla",,2021,23559434,Uncategorized,2022-06-28 15:29:04,,,
KHR-025,Goings,It's For You,Know Hope Records,"LP, Album, Pin",,2020,17218378,VNYL Suggestions,2021-04-03 21:32:53,Near Mint (NM or M-),Near Mint (NM or M-),
N°12,Various,12 AM. / Study Session,Lofi Records (4),"2xLP, Comp, Ltd, Num, Blu",,2022,24419225,Uncategorized,2022-10-06 07:36:49,Mint (M),Mint (M),Individually numbered. 888/1700
LVR01776,Rise Against,Nowhere Generation,Loma Vista Recordings,"LP, Album, Ora",,2021,18990166,Uncategorized,2021-06-04 16:19:12,Near Mint (NM or M-),Near Mint (NM or M-),
none,Dan Campbell (3),Other People’s Lives,Loneliest Place On Earth,"LP, Album, Ltd, Cre",,2021,21108472,Uncategorized,2021-11-30 17:30:48,Near Mint (NM or M-),Mint (M),
19658849471,"Akira Yamaoka, Marcin Przybyłowicz & P.T. Adamczyk",Cyberpunk: Edgerunners (Original Series Soundtrack),"Milan, CD Projekt Red","LP, Album, Comp, Yel",,2024,30107543,Uncategorized,2024-04-09 09:48:31,Mint (M),Mint (M),
19439773931,The Seatbelts,Cowboy Bebop (Original Series Soundtrack),"Milan, Masterworks (3), Sunrise Music Inc. (2)","LP, Red + LP, Pur + Ltd",,2020,16225338,Soundtracks,2021-04-03 19:33:23,Near Mint (NM or M-),Near Mint (NM or M-),
NSR082,Major League (6),Hard Feelings,No Sleep Records,"LP, Album, Lav",,2012,4119707,Uncategorized,2021-04-18 15:32:35,Very Good Plus (VG+),Near Mint (NM or M-),Signed Cover
NSR125,Major League (6),There's Nothing Wrong With Me,No Sleep Records,"LP, Album, Dar",,2014,6272337,Uncategorized,2021-04-03 16:44:20,Very Good Plus (VG+),Very Good Plus (VG+),Bought Used from Cactus Music
NSEW002,Silverstein,When Broken 15 Easily Fixed (Live),Not On Label,"LP, Comp, Eas",,2019,14493395,Favorite Bands,2022-02-10 19:05:15,,,
none,Hawthorne Heights,If Only You Were Lonely XV,Not On Label (Hawthorne Heights Self-released),"LP, Album, Sil",,2022,23012582,Uncategorized,2022-04-28 15:17:40,,,
none,Underoath,(They're Only Chasing Safety),Not On Label (Underoath Self-released),"LP, Album, Ltd, RE, Ult",,2024,30938137,Uncategorized,2024-11-22 12:53:34,,,
NSEW006,Silverstein,Performing Discovering The Waterfront Live At The Legendary Starland Ballroom,NSEW Records,"LP, Album, Num, RP, Yel",,2023,27667452,Favorite Bands,2023-12-17 13:39:33,,,
SP 99001,London Symphony Orchestra And The English Chamber Choir,Tommy,Ode Records (2),"2xLP, Album, Pit + Box",,1972,1328540,Uncategorized,2021-08-17 19:50:21,Very Good (VG),Very Good (VG),
481-5,Spiritbox,Eternal Blue,Pale Chord,"LP, Album, Ltd, Whi",,2021,20355373,Uncategorized,2021-09-27 15:58:57,Mint (M),Near Mint (NM or M-),
RISE 549-11,Spiritbox,Tsunami Sea,"Pale Chord Music, LLC","LP, Album, Ltd, Gho",,2025,33303678,Uncategorized,2025-03-07 17:07:23,,,
2564624854,Iron Maiden,Somewhere In Time,Parlophone,"LP, Album, RE, 180",,2014,6327367,Music I Grew Up With,2021-04-03 19:57:00,Near Mint (NM or M-),Near Mint (NM or M-),
2564625240,Iron Maiden,The Number Of The Beast,Parlophone,"LP, Album, RE, 180",,2014,6191421,Music I Grew Up With,2021-07-31 12:20:32,Near Mint (NM or M-),Mint (M),
"PIASR750LP, AMBR031",Enter Shikari,The Mindsweep,"Play It Again Sam, Ambush Reality","LP, Album, Ltd, Blu",,2017,9829079,Uncategorized,2022-01-25 16:37:39,Mint (M),Near Mint (NM or M-),"Shipped from Germany
"
6788251,LANY (2),Malibu Nights,Polydor,"LP, Album, Cle",,2018,13068375,Uncategorized,2025-04-22 11:55:57,,,
prc 025lp,American Football,American Football,Polyvinyl Record Company,"LP, Album, Ltd, RE, Blu",,2004,1761549,Uncategorized,2021-04-03 19:22:19,Near Mint (NM or M-),Near Mint (NM or M-),
PRC-320 ,American Football,American Football,Polyvinyl Record Company,"LP, Album, Ora",,2016,9191767,Uncategorized,2021-04-03 19:22:56,Near Mint (NM or M-),Near Mint (NM or M-),Indie Store Exclusive Variant
 PNE424,Counterparts,Heaven Let Them Die,Pure Noise Records,"LP, S/Sided, EP, Ltd, Red",,2024,32364513,Uncategorized,2025-03-07 17:06:36,,,
PNE 112,The Story So Far (2),Under Soil And Dirt,Pure Noise Records,"LP, Album, Ltd, Bee",,2017,10399184,Uncategorized,2021-04-03 20:05:33,Near Mint (NM or M-),Near Mint (NM or M-),
PNE 127,The Story So Far (2),What You Don't See,Pure Noise Records,"LP, Album, Ltd, RE, RP, Eas",,2020,16321140,Uncategorized,2021-04-03 20:06:24,Near Mint (NM or M-),Near Mint (NM or M-),
PNE 154,No Bragging Rights,The Concrete Flower ,Pure Noise Records,"LP, Album, RP, Hal",,2014,7271187,Uncategorized,2022-07-18 16:10:53,Very Good Plus (VG+),Very Good Plus (VG+),
PNE 168,The Story So Far (2),The Story So Far,Pure Noise Records,"LP, Album, Ult",,2018,13523274,Uncategorized,2021-04-03 20:07:02,Near Mint (NM or M-),Near Mint (NM or M-),
PNE205,Counterparts,You're Not You Anymore,Pure Noise Records,"LP, Album, Ltd, RP, Bla",,2022,24524096,Uncategorized,2024-02-04 20:12:01,Mint (M),Mint (M),
PNE221,The Story So Far (2),Proper Dose,Pure Noise Records,"LP, Album, Ltd, RE, RP, Whi",,2020,16090644,Uncategorized,2021-04-03 20:08:25,Near Mint (NM or M-),Near Mint (NM or M-),
PNE230-2,SeeYouSpaceCowboy,Songs For The Firing Squad ,Pure Noise Records,"LP, Comp, Ltd, Bla",,2022,25447408,Uncategorized,2025-02-18 11:44:26,,,
PNE231,Youth Fountain,Letters To Our Former Selves ,Pure Noise Records,"LP, Album, RP, Pur",,2019,15853889,Uncategorized,2021-09-19 12:38:24,Near Mint (NM or M-),Mint (M),
PNE248,SeeYouSpaceCowboy,The Correlation Between Entrance And Exit Wounds,Pure Noise Records,"LP, Ltd, RP, Neo",,2022,23857433,Uncategorized,2025-02-18 11:46:52,,,
PNE256,Counterparts,Nothing Left To Love,Pure Noise Records,"LP, Album, Ltd, RP, Bla",,2020,16383531,Uncategorized,2024-02-04 20:11:21,Mint (M),Mint (M),
PNE267,The Amity Affliction,Everyone Loves You... Once You Leave Them,Pure Noise Records,"LP, Album, Ltd, Ora",,2020,14872338,Uncategorized,2021-04-03 20:18:17,Near Mint (NM or M-),Near Mint (NM or M-),
PNE300,Action/Adventure (2),Pulling Focus,Pure Noise Records,"LP, S/Sided, EP, Ltd, Red",,2021,19229122,Uncategorized,2021-07-10 09:59:31,Mint (M),Near Mint (NM or M-),
PNE313,Knocked Loose,A Tear In The Fabric Of Life,Pure Noise Records,"LP, S/Sided, EP, Etch, RP, Bur",,2025,32839182,Uncategorized,2025-04-22 12:00:15,,,
PNE316,No Bragging Rights,No Bragging Rights,Pure Noise Records,"12"", EP, Bla",,2021,21189106,Uncategorized,2025-04-22 12:02:06,,,
PNE318,The Seafloor Cinema,In Cinemascope With Stereophonic Sound,Pure Noise Records,"LP, Album, Ltd, Bab",,2021,21155008,Uncategorized,2022-04-21 18:09:10,,,
PNE334,SeeYouSpaceCowboy,The Romance Of Affliction,Pure Noise Records,"LP, Album, Ltd, Yel",,2021,20849413,Uncategorized,2024-07-29 14:24:01,Near Mint (NM or M-),Near Mint (NM or M-),
PNE369,The Amity Affliction,Not Without My Ghosts,Pure Noise Records,"LP, Ltd, Tra",,2023,27059493,Uncategorized,2023-05-13 08:50:09,Near Mint (NM or M-),Near Mint (NM or M-),
PNE407,SeeYouSpaceCowboy,Coup De Grâce,Pure Noise Records,"LP, Album, Ltd, RP, Red",,2025,32656023,Uncategorized,2025-02-18 11:47:41,,,
PNE4075,SeeYouSpaceCowboy,Coup De Grâce,Pure Noise Records,"LP, Album, Ltd, Bee",,2024,30452102,Uncategorized,2024-07-29 14:20:13,,,Tour Version. Bought on Coup De Grace tour 7/21/24 @ WHL-Midtown Houston. Includes 1 of 200 numberd jacket. 17/200.
PNE409,Knocked Loose,You Won't Go Before You're Supposed To,Pure Noise Records,"LP, Album, Ltd,  Gr",,2024,30637582,Uncategorized,2024-05-18 16:27:42,,,
19802804361,Bullet For My Valentine,The Poison ,"RCA, Legacy","LP, Album, Ltd, RE, RM, Cle",,2024,32391279,Uncategorized,2024-12-05 19:29:27,,,
"RBR0858VL3, RBR0857VL",Beartooth,Below,"Red Bull Records, Red Bull Records","LP, Album, Pur",,2021,19252753,Uncategorized,2021-06-28 15:58:44,Near Mint (NM or M-),Near Mint (NM or M-),
517552-1,Green Day,American Idiot,Reprise Records,"2xLP, Album, RE, RM, RP, Gat",,2009,2923745,Uncategorized,2021-04-03 19:24:29,Near Mint (NM or M-),Near Mint (NM or M-),
556316-1,My Chemical Romance,The Black Parade / Living With Ghosts,Reprise Records,"3xLP, Album, Ltd, Tri",,2016,9093473,Uncategorized,2023-01-10 18:31:54,Near Mint (NM or M-),Near Mint (NM or M-),
123-1,Dance Gavin Dance,Downtown Battle Mountain II,Rise Records (3),"LP, Album, RP, 180",,2019,13948282,Uncategorized,2021-06-22 18:43:59,Near Mint (NM or M-),Near Mint (NM or M-),
209-1,Dance Gavin Dance,Acceptance Speech,Rise Records (3),"LP, Album, RP, 180",,2019,13948306,Uncategorized,2021-05-28 17:53:03,Mint (M),Mint (M),
289-6,The Devil Wears Prada,Space EP,Rise Records (3),"12"", S/Sided, EP, RE, Sil",,2023,29167036,Uncategorized,2024-11-12 08:27:06,,,
3491,Tilian,The Skeptic,Rise Records (3),"LP, Ltd, A/B",,2021,18472552,Uncategorized,2021-05-03 19:40:28,Near Mint (NM or M-),Near Mint (NM or M-),
475-1,Dance Gavin Dance,Tree City Sessions 2,Rise Records (3),"2xLP, Album",,2021,19055341,Uncategorized,2021-06-22 18:49:03,Near Mint (NM or M-),Near Mint (NM or M-),
538494341,Dance Gavin Dance,Head Hunter,Rise Records (3),"7"", S/Sided, Single, 70 ",,2019,13991263,Uncategorized,2021-06-22 18:37:37,Near Mint (NM or M-),Near Mint (NM or M-),
none,Dance Gavin Dance,Blood Wolf,Rise Records (3),"7"", S/Sided, Single, Ltd, Bla",,2019,15621248,Uncategorized,2021-06-22 18:38:21,Near Mint (NM or M-),Near Mint (NM or M-),
none,Dance Gavin Dance,Afterburner,Rise Records (3),"LP, Album, Ltd, Num, Whi",,2020,16119981,Uncategorized,2020-11-19 15:17:10,Mint (M),Mint (M),
RISE 044-1,Dance Gavin Dance,Whatever I Say Is Royal Ocean,Rise Records (3),"LP, EP, RE, 180",,2019,13978165,Uncategorized,2021-06-14 19:47:31,Mint (M),Mint (M),
RISE 245-1,Emarosa,Versus,Rise Records (3),"LP, Album, Cle + CD, Album",,2014,6071351,Uncategorized,2022-01-09 12:26:07,,,
RISE 250-1,Hands Like Houses,Reimagine,Rise Records (3),"LP, EP, Cle",,2020,14912225,Uncategorized,2021-04-03 20:11:16,Near Mint (NM or M-),Near Mint (NM or M-),
RISE 275-1,Silverstein,I Am Alive In Everything I Touch,Rise Records (3),"LP, Album, Ltd, Bro + CD, Album",,2015,7049256,Favorite Bands,2022-02-10 19:08:49,,,
RISE 277-1,Dance Gavin Dance,Instant Gratification,Rise Records (3),"LP, Album, RE, 180",,2019,13929128,Uncategorized,2021-06-22 18:44:53,Near Mint (NM or M-),Near Mint (NM or M-),
RISE 278-1,Knuckle Puck (3),Copacetic,Rise Records (3),"LP, Album, RE, RP, Gre",,2019,13828647,Uncategorized,2021-06-14 19:46:38,Near Mint (NM or M-),Near Mint (NM or M-),
RISE 309,River Oaks,River Oaks,Rise Records (3),"7"", EP, Bla",,2016,11011936,Uncategorized,2022-02-10 19:00:09,,,
RISE 329-1,Crown The Empire,Retrograde,Rise Records (3),"LP, Album, Ltd, Blu",,2016,8837401,Uncategorized,2021-04-03 16:45:54,Very Good Plus (VG+),Very Good Plus (VG+),Bought Used at Cactus Music
RISE 334-1,Of Mice & Men,Cold World,Rise Records (3),"LP, Album, Ltd, Hal",,2016,8980719,Uncategorized,2021-05-28 17:55:55,Near Mint (NM or M-),Near Mint (NM or M-),
RISE 335-I,Memphis May Fire,This Light I Hold,Rise Records (3),"LP, Album, Ltd, Blu",,2016,9470675,Uncategorized,2021-05-28 17:55:21,Near Mint (NM or M-),Near Mint (NM or M-),
RISE 380-1,Silverstein,Dead Reflection,Rise Records (3),"LP, Album, Ltd, Pin",,2017,10569624,Favorite Bands,2022-02-10 19:07:38,,,
RISE 420-1,Dance Gavin Dance,Artificial Selection,Rise Records (3),"LP, Album, RE, 180",,2019,14029440,Uncategorized,2021-07-10 09:58:33,Near Mint (NM or M-),Very Good (VG),
Rise 434-1,Silverstein,Aquamarine (Acoustic) / The Afterglow (Acoustic),Rise Records (3),"7"", Single, Blu",,2018,12951399,Favorite Bands,2022-02-10 19:00:38,,,
RISE 445-1,Secret Band,LP2,Rise Records (3),"LP, Album, Red",,2019,13522620,Uncategorized,2022-01-09 12:24:27,,,
Rise 499-1,Royal Coda,To Only A Few At First,Rise Records (3),"LP, Album, Ltd, Blu",,2022,24176069,Uncategorized,2022-08-23 05:20:53,Mint (M),Mint (M),
RISE 500-1,Dance Gavin Dance,Jackpot Juicer,Rise Records (3),"2xLP, Album, Ltd, Ora",,2022,24067940,Uncategorized,2022-08-09 18:56:23,Mint (M),Mint (M),
Rise-473-2,Tilian,Factory Reset ,Rise Records (3),"LP, Album, Ltd, Red",,2021,18940495,Uncategorized,2021-06-04 16:21:56,Near Mint (NM or M-),Near Mint (NM or M-),
RISE067-1,Dance Gavin Dance,Dance Gavin Dance,Rise Records (3),"LP, Album, RP, 180",,2019,13916992,Uncategorized,2021-06-14 19:48:57,Near Mint (NM or M-),Near Mint (NM or M-),
RISE121,Dance Gavin Dance,People You Knew / Perfect,Rise Records (3),"7"", Single",,2019,13874508,Uncategorized,2021-06-22 18:39:09,Near Mint (NM or M-),Near Mint (NM or M-),
RISE154,Hands Like Houses,Ground Dweller,Rise Records (3),"LP, Ltd, Bon",,2019,14563503,Uncategorized,2021-04-03 20:09:36,Near Mint (NM or M-),Near Mint (NM or M-),
RISE206-1,Hands Like Houses,Unimagine,Rise Records (3),"LP, Album, Cle",,2019,9452147,Uncategorized,2021-04-03 20:10:20,Near Mint (NM or M-),Near Mint (NM or M-),
RISE308-1,Dance Gavin Dance,Tree City Sessions,Rise Records (3),"2xLP, Album, RE, 180",,2019,13925289,Uncategorized,2021-11-24 10:54:56,Mint (M),Near Mint (NM or M-),
RISE387,Dance Gavin Dance,Summertime Gladness/Pussy Vultures,Rise Records (3),"7"", Single, 180",,2019,13890934,Uncategorized,2021-06-22 18:36:33,Near Mint (NM or M-),Near Mint (NM or M-),
none,Eidola,Mend,"Rise Records (3), Blue Swan Records (2)","LP, Album, Ltd",,2025,32870310,Uncategorized,2025-01-17 11:59:48,Mint (M),Mint (M),
Rise 529-1,Eidola,Eviscerate ,"Rise Records (3), Blue Swan Records (2)","LP, Album, Bla",,2024,30427064,Uncategorized,2024-05-05 12:33:53,,,
RISE 466-1,Angels & Airwaves,All That's Left Is Love,"Rise Records (3), BMG","7"", S/Sided, Single, Etch, Ltd, Ora",,2021,16885602,Uncategorized,2021-04-03 21:21:37,Mint (M),Mint (M),
"463-1, none",Make Them Suffer,How To Survive A Funeral ,"Rise Records (3), Greyscale Records","LP, Album, Ltd, Cor",,2020,15879560,Uncategorized,2021-06-14 19:45:11,Near Mint (NM or M-),Near Mint (NM or M-),
RISE 199-1,Man Overboard,Heart Attack,"Rise Records (3), Lost Tape Collective","LP, Album, Red + CD, Album",,2013,4604791,Uncategorized,2021-04-03 16:39:52,Very Good Plus (VG+),Very Good Plus (VG+),Purhased Used from Cactus Music. Great condition.
"RISE 046-1, RISE46",Dance Gavin Dance,Downtown Battle Mountain,"Rise Records (3), Rise Records (3)","LP, Album, RP, 180",,2019,13929111,Uncategorized,2021-06-22 18:41:33,Near Mint (NM or M-),Near Mint (NM or M-),
"RISE 485-3, RISE 485-1",Angels & Airwaves,Lifeforms,"Rise Records (3), Rise Records (3)","LP, Album, Ltd, Ora",,2021,20335642,Uncategorized,2021-09-29 17:06:35,Mint (M),Near Mint (NM or M-),Signed cover by band
1-654153,Turnstile (2),Glow On,Roadrunner Records,"LP, Album, Ltd, RP, Eve",,2022,23963978,Uncategorized,2022-07-25 07:59:49,,,
1686-1757212,The Amity Affliction,Let The Ocean Take Me,Roadrunner Records,"LP, Album, Ltd, Blu",,2014,8809174,Uncategorized,2022-07-25 07:57:47,Near Mint (NM or M-),Near Mint (NM or M-),Gift from Tessa
B0014695-01,Kanye West,My Beautiful Dark Twisted Fantasy,Roc-A-Fella Records,"3xLP, Album, Ltd, RE",,2016,9731296,Uncategorized,2021-05-10 17:30:01,Mint (M),Near Mint (NM or M-),
RDR140-1,Stand Atlantic,Sidewinder,Rude Records (9),"12"", S/Sided, EP, RP, Tur",,2021,17991181,Uncategorized,2021-06-04 16:22:51,Near Mint (NM or M-),Near Mint (NM or M-),
RFC:096,Modern Baseball,You're Gonna Miss It All,Run For Cover Records (2),"LP, Album, Ltd, RP, Cle",,2015,7937797,Uncategorized,2021-06-04 16:16:33,Near Mint (NM or M-),Near Mint (NM or M-),
"RFC122, RFC:122",Turnover (3),Peripheral Vision,"Run For Cover Records (2), Run For Cover Records (2)","LP, Album, RP, Mag",,2019,14246349,Uncategorized,2021-04-03 21:24:25,Near Mint (NM or M-),Near Mint (NM or M-),
SH082,This Town Needs Guns,Animals,Sargent House,"LP, Red",,2012,14618151,Uncategorized,2021-05-23 13:09:04,Near Mint (NM or M-),Mint (M),
none,Silverstein,Redux - The First 10 Years,"Silverstein Music, Inc.","LP, Comp, Hal",,2019,13880236,Favorite Bands,2022-02-10 19:06:16,,,
NSEW005,Silverstein,Redux II,"Silverstein Music, Inc.","LP, Comp, Oli",,2020,16361193,Favorite Bands,2022-02-10 19:02:03,,,
SOAKLP356,Enter Shikari,A Kiss For The Whole World,So Recordings,"LP, Album, Ltd, Ora",,2023,26847338,Uncategorized,2023-05-13 08:48:40,Near Mint (NM or M-),Near Mint (NM or M-),
"SOAKLP215XXD, SOAKLP215XX",Enter Shikari,Nothing Is True & Everything Is Possible + Moratorium (Broadcasts From The Interruption),"So Recordings, Ambush Reality, So Recordings, Ambush Reality","Comp, Dlx, Ltd + LP, Album, RE, Cle + LP, Album, C",,2021,20066269,Uncategorized,2021-09-07 19:49:37,Mint (M),Mint (M),
SF 579422,Leonard Bernstein,West Side Story (The Original Sound Track Recording),Soundtrack Factory,"LP, RE",,2018,13717366,Soundtracks,2021-05-03 19:28:08,Near Mint (NM or M-),Near Mint (NM or M-),
LORD 229,Halshug,Sort Sind,Southern Lord,"LP, Album",,2016,9187100,VNYL Suggestions,2021-04-03 21:35:02,Mint (M),Mint (M),
SPAR009,Schematic,Color (n.) Inside The Lines,Spartan Records (3),"2xLP, Ltd, Blu",,2013,5033338,Uncategorized,2021-06-14 19:54:16,Very Good Plus (VG+),Very Good Plus (VG+),
2435761497,Hurtwave,Night Therapy I,Spinefarm Records,"12"", EP, Pin",,2021,20130295,Uncategorized,2021-09-08 18:43:38,Near Mint (NM or M-),Near Mint (NM or M-),
